serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
95154,,Sukhoi SuperJet 100,100-95LR,20/12/2017,2.3,97011,SaM146,2,RA-89119,04/01/2019,Severstal,,Active
95155,,Sukhoi SuperJet 100,100-95LR,09/02/2018,2.2,89095,SaM146,2,RA-89095,18/04/2018,Azimuth,lsd from GTLK  Named  Irtysh,Active
95156,,Sukhoi SuperJet 100,100-95B,20/02/2018,2.1,89111,SaM146,2,RA-89111,09/06/2018,Aeroflot,Named - Ivan Kozhedub,Active
95157,,Sukhoi SuperJet 100,100-95B,02/03/2018,,97012,SaM146,2,EI-,Due,CityJet,,On order
95158,,Sukhoi SuperJet 100,100-95B,15/03/2018,2.1,89112,SaM146,2,RA-89112,22/06/2018,Aeroflot,Named Vladimir Kokkinaki,Active
95159,,Sukhoi SuperJet 100,100-95LR,26/03/2018,2,95159,SaM146,2,RA-89117,26/12/2018,Severstal,ex 97016Lsd from GTLK,Active
95160,,Sukhoi SuperJet 100,100-95B,04/04/2018,2,89113,SaM146,2,RA-89113,29/06/2018,Aeroflot,Named Alexey Maresiev,Active
95161,,Sukhoi SuperJet 100,100-95B,13/04/2018,2,89110,SaM146,2,RA-89110,31/08/2018,Aeroflot,Named Mikhail Gromov,Active
95162,,Sukhoi SuperJet 100,100-95B,25/04/2018,2,89114,SaM146,2,RA-89114,17/08/2018,Aeroflot,Stored 05/2019 to 09/2019Named Valery Chkalov,Active
95163,,Sukhoi SuperJet 100,100-95LR,30/05/2018,,97013,SaM146,2,EI-,Due,CityJet,,On order
95165,,Sukhoi SuperJet 100,100-95B,19/06/2018,1.8,89116,SaM146,2,RA-89116,07/09/2018,Aeroflot,Named Konstantin Rokossovsky,Active
95166,,Sukhoi SuperJet 100,100-95B,27/06/2018,1.8,89115,SaM146,2,RA-89115,21/09/2018,Aeroflot,Named Vasily Polenov,Active
95169,,Sukhoi SuperJet 100,100-95LR,30/07/2018,,97002,SaM146,2,EI-,Due,CityJet,,On order
95172,,Sukhoi SuperJet 100,100-95B,26/09/2018,1.5,89118,SaM146,2,RA-89118,03/01/2019,Severstal,,Active
95174,,Sukhoi SuperJet 100,100-95B,12/10/2018,1.5,97008,SaM146,2,RA-89120,26/10/2019,Azimuth,Named Oka  Lsd From Gtlk,Active
95175,,Sukhoi SuperJet 100,100-95B,22/10/2018,1.5,89121,SaM146,2,RA-89121,04/12/2019,Azimuth,Named   Ob,Active
95176,,Sukhoi SuperJet 100,100-95B,08/11/2018,,97014,SaM146,2,EI-,Due,CityJet,,On order
95177,,Sukhoi SuperJet 100,100-95LR,28/11/2018,,97016,SaM146,2,RA-89122,Due,Azimuth,,On order
95179,,Sukhoi SuperJet 100,100-95B,12/12/2018,,97009,SaM146,2,EI,Due,CityJet,,On order
95180,,Sukhoi SuperJet 100,100-95LR,24/01/2019,1.2,89136,SaM146,2,RA-89136,12/04/2019,Azimuth,Lsd from GTLK  Named Kama,Active
95181,,Sukhoi SuperJet 100,100-95B,05/02/2019,1.2,89135,SaM146,2,RA-89135,25/12/2019,Severstal,Lsd from GTLK,Active
