serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
48410,495,McDonnell Douglas MD-11,MD-11 F,Unknown,,,PW PW4460,3,Z-BVT,27/01/2010,Avient,Ceased operations 04/2013,Transferred
48410,495,McDonnell Douglas MD-11,MD-11 F,Unknown,,,PW PW4460,3,Z-GAA,27/06/2015,Global Africa Aviation,Stored as 2-ZGAA pegasus aviation,Stored
48411,453,McDonnell Douglas MD-11,MD-11 F,09/12/1990,29.3,,GE CF6-80C2D1F,3,N514MD,09/12/1990,McDonnell Douglas,,Transferred
48411,453,McDonnell Douglas MD-11,MD-11 F,09/12/1990,29.3,,GE CF6-80C2D1F,3,N891DL,21/12/1990,Delta Air Lines,,Transferred
48411,453,McDonnell Douglas MD-11,MD-11 F,09/12/1990,29.3,,GE CF6-80C2D1F,3,PP-SPD,21/01/1994,VASP,,Transferred
48411,453,McDonnell Douglas MD-11,MD-11 F,09/12/1990,29.3,,GE CF6-80C2D1F,3,N703GC,20/04/2001,Gemini Air Cargo,Converted to freighter - Stored at GYR 08/2008,Transferred
48411,453,McDonnell Douglas MD-11,MD-11 F,09/12/1990,29.3,,GE CF6-80C2D1F,3,N382WA,24/12/2008,World Airways,Stored 02/2014Lsd From Wfbn,Transferred
48411,453,McDonnell Douglas MD-11,MD-11 F,09/12/1990,29.3,,GE CF6-80C2D1F,3,N411SN,21/12/2015,Western Global Airlines,,Active
48412,454,McDonnell Douglas MD-11,MD-11 F,Unknown,29.3,,GE CF6-80C2D1F,3,N892DL,21/12/1990,Delta Air Lines,,Transferred
48412,454,McDonnell Douglas MD-11,MD-11 F,Unknown,29.3,,GE CF6-80C2D1F,3,PP-SPE,30/12/1993,VASP,,Transferred
48412,454,McDonnell Douglas MD-11,MD-11 F,Unknown,29.3,,GE CF6-80C2D1F,3,N705GC,08/12/2000,Gemini Air Cargo,,Transferred
48412,454,McDonnell Douglas MD-11,MD-11 F,Unknown,29.3,,GE CF6-80C2D1F,3,PP-SPE,07/06/2001,Cielos del Peru,,Transferred
48412,454,McDonnell Douglas MD-11,MD-11 F,Unknown,29.3,,GE CF6-80C2D1F,3,N705GC,09/12/2001,Gemini Air Cargo,Stored at GYR 08/2008,Transferred
48412,454,McDonnell Douglas MD-11,MD-11 F,Unknown,29.3,,GE CF6-80C2D1F,3,N383WA,10/11/2008,World Airways,Stored 11/2013Lsd From Gecas,Transferred
48412,454,McDonnell Douglas MD-11,MD-11 F,Unknown,29.3,,GE CF6-80C2D1F,3,N383WA,25/09/2014,Western Global Airlines,,Transferred
48412,454,McDonnell Douglas MD-11,MD-11 F,Unknown,29.3,,GE CF6-80C2D1F,3,N412SN,16/06/2015,Western Global Airlines,,Active
48413,488,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,PP-SOW,14/02/1992,VASP,,Transferred
48413,488,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,PP-VQL,12/05/2000,Varig,Stored as N413LT,Transferred
48413,488,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,D-ALCO,12/07/2005,Lufthansa,ScrappedStored 01/2014,Scrapped
48414,491,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,PP-SOZ,27/03/1992,VASP,,Transferred
48414,491,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,PP-VQM,12/05/2000,Varig,Stored as N414LT,Transferred
48414,491,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,D-ALCP,15/01/2005,Lufthansa,Stored 05/2014 Converted to freighter  Scrapped,Scrapped
48415,576,McDonnell Douglas MD-11,MD-11 F,30/11/1994,25.4,,GE CF6-80C2D1F,3,N103EV,30/11/1994,EVA Air,,Transferred
48415,576,McDonnell Douglas MD-11,MD-11 F,30/11/1994,25.4,,GE CF6-80C2D1F,3,B-16103,28/05/1999,EVA Air,Converted to freighter,Transferred
48415,576,McDonnell Douglas MD-11,MD-11 F,30/11/1994,25.4,,GE CF6-80C2D1F,3,B-2176,09/06/2005,Shanghai Airlines,Stored 06/2011 as N304MS (GECAS),Transferred
48415,576,McDonnell Douglas MD-11,MD-11 F,30/11/1994,25.4,,GE CF6-80C2D1F,3,N415JN,22/08/2014,Western Global Airlines,Lsd From Gecas,Active
48416,466,McDonnell Douglas MD-11,MD-11 F,Unknown,28.8,,GE CF6-80C2D1F,3,HS-TMD,27/06/1991,Thai Airways,Named Phra Nakhon,Transferred
48416,466,McDonnell Douglas MD-11,MD-11 F,Unknown,28.8,,GE CF6-80C2D1F,3,N258UP,06/06/2006,UPS,Converted to freighter 04/2007,Active
48417,467,McDonnell Douglas MD-11,MD-11 F,Unknown,28.7,,GE CF6-80C2D1F,3,HS-TME,15/07/1991,Thai Airways,Named Pathum Wan,Transferred
48417,467,McDonnell Douglas MD-11,MD-11 F,Unknown,28.7,,GE CF6-80C2D1F,3,N259UP,29/06/2006,UPS,Converted to freighter 04/2007,Active
48418,501,McDonnell Douglas MD-11,MD-11 F,Unknown,27.8,,GE CF6-80C2D1F,3,HS-TMF,02/07/1992,Thai Airways,Named Phichit,Transferred
48418,501,McDonnell Douglas MD-11,MD-11 F,Unknown,27.8,,GE CF6-80C2D1F,3,N260UP,31/07/2006,UPS,Converted to freighter 08/2007,Active
48419,450,McDonnell Douglas MD-11,MD-11 P,Unknown,,,GE CF6-80C2D1F,3,N1750B,05/06/1990,McDonnell Douglas,,Transferred
48419,450,McDonnell Douglas MD-11,MD-11 P,Unknown,,,GE CF6-80C2D1F,3,N411MD,01/07/1990,McDonnell Douglas,,Transferred
48419,450,McDonnell Douglas MD-11,MD-11 P,Unknown,,,GE CF6-80C2D1F,3,N1750B,28/05/1991,American Airlines,,Transferred
48419,450,McDonnell Douglas MD-11,MD-11 P,Unknown,,,GE CF6-80C2D1F,3,N581FE,28/02/1997,Federal Express,,Written off
48420,451,McDonnell Douglas MD-11,MD-11 F,Unknown,30,,GE CF6-80C2D1F,3,N511MD,01/04/1990,McDonnell Douglas,,Transferred
48420,451,McDonnell Douglas MD-11,MD-11 F,Unknown,30,,GE CF6-80C2D1F,3,N1751A,01/02/1991,American Airlines,,Transferred
48420,451,McDonnell Douglas MD-11,MD-11 F,Unknown,30,,GE CF6-80C2D1F,3,N582FE,22/01/1996,Federal Express,Converted to freighter  Named Jamie,Active
48421,452,McDonnell Douglas MD-11,MD-11 F,Unknown,29.8,,GE CF6-80C2D1F,3,N510MD,01/07/1990,McDonnell Douglas,,Transferred
